Surname,#Awards,Education,#DBLP_Record
Croft,8,"Croft earned a bachelor's degree with honors in 1973 and a master's degree in computer science in 1974 from Monash University in Melbourne, Australia.  He earned his Ph.D in computer science from the University of Cambridge in 1979 and joined the University of Massachusetts, Amherst faculty later that year.",462
Culler,2,,7
Curry,0,,17
Dadda,0,,29
Dahl,0,,42
Dahl,0,,27
Dam,0,,101
Das,0,,332
Daswani,0,,15
Date,0,,89
Davis,0,,17
Dean,6,"Dean received a B.S., summa cum laude, from the University of Minnesota in computer science and economics in 1990.[3] He received a Ph.D. in computer science from the University of Washington in 1996, working under Craig Chambers on compilers[4] and whole-program optimization techniques for object-oriented programming languages.[5] He was elected to the National Academy of Engineering in 2009, which recognized his work on ""the science and engineering of large-scale distributed computer systems"".[6]",236
Demaine,1,,742
DeMarco,0,,43
DeMillo,0,,65
Denning,9,,70
Denning,0,,308
Dertouzos,0,,17
Dewdney,0,,11
Dewar,0,,54
Dham,0,,2
Dietz,0,,175
Diffie,4,,51
Dijkstra,10,,124
Dillon,0,,27
Dix,0,,289
Dongarra,5,"Dongarra received a BSc degree in mathematics from Chicago State University in 1972 and a MSc degree in Computer Science from the Illinois Institute of Technology in 1973. In 1980, he received PhD in Applied Mathematics from the University of New Mexico under the supervision of Cleve Moler.[1]",991
Dorigo,0,,319
Dourish,7,,160
Draper,5,,0
Dumais,1,,208
Dunkels,0,,55
Dunn,0,,13
Dustdar,0,,924
Eades,0,,221
Easley,0,,0
Ebbinkhuijsen,0,,0
Eckert,0,"Eckert was born in Philadelphia to wealthy real estate developer John Eckert, and was raised in a large house in Philadelphia's Germantown section. During elementary school, he was driven by chauffeur to William Penn Charter School, and in high school joined the Engineer's Club of Philadelphia and spent afternoons at the electronics laboratory of television inventor Philo Farnsworth in Chestnut Hill. He placed second in the country on the math portion of the College Board examination.[2]",9
Edelman,5,"Edelman received B.S. and M.S. degrees in mathematics from Yale University in 1984, and a Ph.D. in applied mathematics from MIT in 1989 under the direction of Lloyd N. Trefethen. Following a year at Thinking Machines Corporation, and at CERFACS[4] in France, Edelman went to U.C. Berkeley as a Morrey Assistant Professor and Levy Fellow, 1990–93. He joined the MIT faculty in applied mathematics in 1993.",90
Eich,0,,13
Emeagwali,0,"He traveled to the United States to study under a scholarship following completion of a course at the University of London. He received a bachelor's degree in mathematics from Oregon State University in 1977.[7] He later moved to Washington D.C., receiving in 1986 a master's degree from George Washington University in ocean and marine engineering, and a second master's in applied mathematics from the University of Maryland.[8] Next magazine suggested that Emeagwali claimed to have further degrees.[9][10] During this time, he worked as a civil engineer at the Bureau of Land Reclamation in Wyoming.",0
Emerson,1,,119
Engelbart,3,,22
Engelhardt,6,"Engelhardt received a Bachelor of Science in Symbolic Systems and a Master of Science in Computer Science from Stanford University. She received a PhD in 2008 from the University of California, Berkeley supervised by Michael I. Jordan.[3]",64
Eppstein,0,,679
Ershov,0,,10
Estridge,0,,0
Etzioni,6,,187
Evans,0,,0
Evans,0,,397
Even,0,,140
Fahlman,0,,34
Feigenbaum,8,,55
Felten,2,,115
Finin,3,Finin earned an undergraduate degree in Electrical Engineering from MIT in 1971 and a PhD in Computer Science from the University of Illinois at Urbana–Champaign in 1980.,357
Finkel,0,,67
Firesmith,0,,61
Flake,0,,33
Flowers,0,,1
Floyd,0,,74
Floyd,2,,83
Fogel,0,,25
Foley,0,,130
Forbus,0,"Forbus earned a Bachelor of Science in computer science, Master of Science in computer science, and PhD in artificial intelligence from the Massachusetts Institute of Technology.[2]",209
Ford,0,,13
Fortnow,4,,237
Fayed,0,,3
Fowler,0,,70
France,0,,"2,482"
Franke,9,,37
Fredkin,1,,8
Freund,0,,114
Friedman,0,,163
Fischer,0,,19
Fu,0,,"1,504"
Fu,6,,537
Fukushima,1,,91
Fulkerson,0,,20
Gabriel,0,,251
Galil,1,,200
Galler,0,,60
Garcia-Molina,1,,469
Garey,0,,63
Garis,0,,95
Gates,0,,18
Gelernter,0,,68
Gelobter,0,,0
Geschke,12,,12
Ghahramani,1,"Ghahramani was educated at the American School of Madrid in Spain and the University of Pennsylvania where he was awarded a double major degree in Cognitive Science and Computer Science in 1990.[5] He obtained his Ph.D. from the Department of Brain and Cognitive Sciences at the Massachusetts Institute of Technology, supervised by Michael I. Jordan and Tomaso Poggio.[4][10]",322
Ghemawat,6,,28
Gibbons,0,,164
Gilbert,0,"Ph.D., University of Cincinnati, Cincinnati, Ohio, 2000 (Computer Science); dissertation: ""Arthur: An Intelligent Tutoring System with Adaptive Instruction""[11]",154
Giles,2,,593
Ginsburg,0,,120
Glass,0,,371
Gödel,3,,88
Goel,0,,268
Goguen,0,,172
Gold,0,,283
Goldberg,0,,61
Goldberg,2,,163
Goldberg,0,"He attended high school at the University of Toronto Schools, graduating in 1991. In 1995, he received a B.Math from the University of Waterloo in pure mathematics and computer science. He obtained a Ph.D. from the University of California, Berkeley in December 2000. His thesis was entitled A Pseudonymous Communications Infrastructure for the Internet.[5] His advisor was Eric Brewer.",155
Goldsmith,0,,166
Goldreich,1,,538
Goldwasser,3,,239
Golub,0,,170
Golumbic,0,,110
Gonnet,1,,102
Goodfellow,0,"Goodfellow obtained his B.S. and M.S. in computer science from Stanford University under the supervision of Andrew Ng (co-founder and head of Google Brain), and his Ph.D. in machine learning from the Université de Montréal in April 2014, under the supervision of Yoshua Bengio and Aaron Courville.[6][7] Goodfellow's thesis is titled Deep learning of representations and its application to computer vision.[8][9]",111
Gosling,6,,16
Graham,0,,468
Graham,0,,278
Graham,1,,92
Gray,0,,270
Greibach,0,,77
Gries,10,,164
Griesemer,0,,10
Griswold,0,,48
Gropp,0,,310
Gruber,0,,45
Guberman,0,,0
Guha,2,"Guha did his schooling from Loyola High School, Pune and graduated with Bachelor of Technology in Mechanical Engineering from the Indian Institute of Technology Madras, Master of Science from University of California, Berkeley and Ph.D from Stanford University.[1][7]",39
Gunther,9,,58
Gutknecht,0,,47
Guy,0,,583
Habermann,0,,39
Hahn,0,,1
Hall,1,,1
Hall,1,,292
Halpern,0,,640
Hamilton,11,,133
Hamming,0,,27
Han,0,,"1,538"
Harary,0,,117
Harris,0,,153
Hartmanis,13,,143
Håstad,0,,181
Hatton,0,,51
Hawryszkiewycz,0,,149
Jifeng,0,,315
Hehner,0,,52
Hellman,5,,76
Heiser,14,,132
Hendler,0,"Hendler completed his Doctor of Philosophy degree at Brown University in 1986 with a thesis on automated planning and scheduling.[3]  He also has an MS (1981) in Cognitive Psychology from Southern Methodist University, a MSc (1983) from Brown University, and a BS (1978) from Yale University.",319
Hennessy,6,,121
Herbert,0,,140
Hewitt,0,,67
Hightower,0,,4
Hillis,3,,2
Hinton,1,"Hinton was educated at Clifton College in Bristol[33] and King's College, Cambridge. After repeatedly changing his degree between different subjects like natural sciences, history of art, and philosophy, he eventually graduated in 1970 with a bachelor of arts in experimental psychology.[11] He continued his study at the University of Edinburgh where he was awarded a PhD in artificial intelligence in 1978 for research supervised by Christopher Longuet-Higgins.[2][34]",298
Hirschberg,6,,230
Ho,2,Ho completed her undergraduate education at the Chinese University of Hong Kong in 1984.  She received a Ph.D. in computer science from State University of New York at Buffalo in 1992.[1],112
Hoare,21,,255
Hodes,0,,16
Holberton,2,,1
Holland,0,,1
Hollerith,0,,1
Hopcroft,7,"He received his bachelor's degree from Seattle University in 1961.[6] He received his master's degree and Ph.D. from Stanford University in 1962 and 1964, respectively. He worked for three years at Princeton University and since then has been at Cornell University. Hopcroft is the grandson of Jacob Nist, founder of the Seattle-Tacoma Box Company.[7]",205
Holzmann,0,,151
Hopper,27,,23
Horvitz,0,,423
Householder,0,,14
Hudak,0,,104
Huffman,5,"Huffman earned his bachelor's degree in electrical engineering from Ohio State University in 1944. Then, he served two years as an officer in the United States Navy. He returned to Ohio State to earn his master's degree in electrical engineering in 1949. In 1953, he earned his Doctor of Science in electrical engineering at the Massachusetts Institute of Technology (MIT), with the thesis The Synthesis of Sequential Switching Circuits, advised by Samuel H. Caldwell.[1][2][4]",35
Hughes,0,,536
Hui,0,,109
Humphrey,0,,53
Hutchins,0,"Hutchins received her B.A. from the University of California,[1] San Diego, in 1967. During her undergraduate studies, Hutchins majored in physics and minored in linguistics. In 1970, she received her Ph.D. in computer science, also from the University of California, San Diego.[2]",3
Hoberman,0,,0
Ichbiah,1,,11
Ierusalimschy,0,,74
Ingalls,12,"Ingalls received his Bachelor of Arts (B.A.) in physics from Harvard University, and his Master of Science (M.S.) in electrical engineering from Stanford University. While working toward a Doctor of Philosophy (Ph.D.) at Stanford, he started a company to sell a software measurement invention that he perfected, and never returned to academia.",34
Irwin,14,"Mary Jane Irwin received her B.S. in Mathematics from Memphis State University in 1971, and her M.S. and Ph.D. in Computer Science from the University of Illinois in 1975 and 1977, respectively.  Her dissertation research on the topic of computer arithmetic was supervised by Dr. James Robertson.",371
Iverson,6,"Iverson began school on 1 April 1926 in a one-room school,[4] initially in Grade 1, promoted to Grade 2 after 3 months and to Grade 4 by the end of June 1927.
He left school after Grade 9 because it was the depths of the Great Depression and there was work to do on the family farm, and because he thought further schooling only led to becoming a schoolteacher and he had no desire to become one.  At age 17, while still out of school, he enrolled in a correspondence course on radios with De Forest Training in Chicago, and learned calculus by self-study from a textbook.[4][6]
During World War II, while serving in the Royal Canadian Air Force, he took correspondence courses toward a high school diploma.",49
Jacobson,0,,74
Jain,0,,929
Jain,0,"He graduated with a bachelor's degree from Visvesvaraya National Institute of Technology, Nagpur, India and has a Ph.D. in electronics engineering (1975) from Indian Institute of Technology, Kharagpur, India.[2]",572
James,0,,"1,235"
Johnson,0,,993
Johnson,0,,265
Jones,0,,195
Jordan,2,"Jordan received his BS magna cum laude in Psychology in 1978 from the Louisiana State University, his MS in Mathematics in 1980 from Arizona State University and his PhD in Cognitive Science in 1985 from the University of California, San Diego.[19] At the University of California, San Diego, Jordan was a student of David Rumelhart and a member of the Parallel Distributed Processing (PDP) Group in the 1980s.",899
Joseph,0,,51
Joshi,0,,190
Joy,0,,45
Jurafsky,4,"Jurafsky received his B.A in linguistics (1983) and Ph.D. in computer science (1992), both at University of California, Berkeley; and then a postdoc at International Computer Science Institute, Berkeley (1992–1995).",320
Kahan,0,,37
Kahn,2,,56
Kak,0,,180
Kamp,0,,44
Karger,6,Karger received a Bachelor of Arts degree from Harvard University and a PhD in computer science from Stanford University.[3],297
Karp,0,,345
Karmarkar,11,,22
Karpinski,0,,349
Kaehler,0,,7
Kay,6,,120
Kayal,2,,79
Kellis,3,,46
Kemeny,0,,1
Kennedy,0,,"3,170"
Kernighan,0,,56
Kesselman,0,,172
Kiczales,0,,70
Kirstein,8,,55
Kleene,0,,13
Klein,0,,897
Kleinrock,4,,188
Knuth,17,"Knuth received a scholarship in physics to the Case Institute of Technology (now part of Case Western Reserve University) in Cleveland, Ohio, enrolling in 1956.[10] He also joined the Beta Nu Chapter of the Theta Chi fraternity. While studying physics at Case, Knuth was introduced to the IBM 650, an early commercial computer. After reading the computer's manual, Knuth decided to rewrite the assembly and compiler code for the machine used in his school because he believed he could do it better.[11]",207
Koenig,0,,74
Koller,20,"Koller received a bachelor's degree from the Hebrew University of Jerusalem in 1985, at the age of 17, and a master's degree from the same institution in 1986, at the age of 18.[11] She completed her PhD at Stanford in 1993 under the supervision of Joseph Halpern.[2]",266
Kölling,8,,120
Kolmogorov,11,,2
Kolodner,0,Kolodner graduated with a Bachelor of Arts degree in math and computer science from Brandeis University in 1976. She then completed her Master of Science degree in computer science in 1977 and her PhD in computer science in 1980 from Yale University.[13],70
Korn,0,,133
Koster,0,,11
Kowalski,2,"He was educated at the University of Chicago, University of Bridgeport (BA in mathematics, 1963), Stanford University (MSc in mathematics, 1966), University of Warsaw and the University of Edinburgh (PhD in computer science, 1970).[1]",145
Koza,0,,91
Krogstie,0,,263
Kruskal,0,,12
Kruusmaa,4,,58
Kurtz,0,,12
Ladner,0,,251
Lam,9,,196
Lamport,1,,185
Lampson,15,,83
Landin,0,,46
Lane,0,,88
Langefors,0,,10
Lattner,0,"Lattner studied computer science at the University of Portland, graduating in with a Bachelor of Science degree in 2000. While in Oregon, he worked as an operating system developer, enhancing Sequent Computer Systems's DYNIX/ptx.[9][11] He moved to the University of Illinois at Urbana-Champaign where he was awarded a Master of Science degree in 2002, followed by a PhD in 2005 for research on optimizing pointer-intensive programs, supervised by Vikram Adve.[12][13]",14
Lawrence,8,,356
Lazowska,0,,107
Lederberg,0,,9
Lehman,3,,2
Leiserson,0,,136
Lenat,0,,67
LeCun,11,He received a Diplôme d'Ingénieur from the ESIEE Paris in 1983 and a PhD in Computer Science from Université Pierre et Marie Curie (today Sorbonne University) in 1987 during which he proposed an early form of the back-propagation learning algorithm for neural networks.[14],345
Lerdorf,0,,5
Levchin,0,,0
Levin,0,,98
Leyton-Brown,0,,197
Licklider,0,,12
Liddle,0,,57
Liedtke,0,"In the mid-1970s Liedtke studied for a diploma degree in mathematics at the Bielefeld University. His thesis project was to build a compiler for the programming language ELAN, which had been launched for teaching programming in German schools.[citation needed] The compiler was written in ELAN.",39
Lions,0,,11
Lindsey,0,,11
Lipton,4,,235
Liskov,0,,167
Liu,0,,120
Long,5,,218
Lopez,7,,160
Lovegrove,0,,7
Lovelace,0,"From 1832, when she was seventeen, her mathematical abilities began to emerge,[22] and her interest in mathematics dominated the majority of her adult life.[38] Her mother's obsession with rooting out any of the insanity of which she accused Byron was one of the reasons that Ada was taught mathematics from an early age. She was privately educated in mathematics and science by William Frend, William King,[a] and Mary Somerville, the noted 19th-century researcher and scientific author. In the 1840s, the mathematician Augustus De Morgan extended her ""much help in her mathematical studies"" including study of advanced calculus topics including the ""numbers of Bernoulli"" (that formed her celebrated algorithm for Babbage's Analytical Engine).[39] In a letter to Lady Byron, De Morgan suggested that Ada's skill in mathematics might lead her to become ""an original mathematical investigator, perhaps of first-rate eminence"".[40]",35
Luckham,0,,55
Luks,3,,41
Lynch,0,,389
Thalmann,5,,734
Maibaum,0,,200
Marlow,0,,49
Manna,3,,196
Martin,0,,"1,798"
Martin,0,,"2,606"
Mashey,0,,18
Matiyasevich,7,,46
Matsumoto,0,,23
Mauchly,2,,9
Maulik,11,"He did his schooling from Nabadwip Bakultala High School, Nabadwip, Nadia and Ramakrishna Mission Vivekananda Centenary College,[5] Rahara, 24 Parganas (North) both in West Bengal.  Subsequently, he completed B.Sc. in Physics and B. Tech. in Computer Science from University of Calcutta,[6] Kolkata, West Bengal, India in 1986 and 1989.  He also received his M. Tech. in Computer Science and Ph.D. in Engineering in 1992 and 1997 at Jadavpur University,[7] Kolkata, West Bengal, India. He did post-doctoral research at the University of New South Wales, Australia[8] in 1999 and the University of Texas, Arlington,[9] U.S. in 2001.",214
McAuley,0,,86
McCarthy,7,,321
McCallum,0,,424
McIlroy,3,,26
McKinstry,0,,5
McKusick,0,,40
Meertens,2,,33
Mehlhorn,6,,453
Metcalf,0,,0
Meyer,3,,371
Micali,3,,172
Milner,7,,122
Minker,2,,157
Minsky,0,,50
Mitchell,0,,129
Mitchell,4,,386
Mithal,3,,1
Mockapetris,10,"Mockapetris graduated from the Boston Latin School in 1966, received his bachelor's degrees in physics and electrical engineering from the Massachusetts Institute of Technology in 1971 and his doctorate in information and computer science from the University of California at Irvine in 1982.[1][2]",13
Moler,0,,26
Moller,0,,79
Moon,0,"Moon's best subjects in school were Mathematics, Science and English.  After he graduated high school with honors, he enrolled at Pennsylvania State University where he received a degree in mechanical engineering in 1960. After graduating from there he decided to further pursue his education and get his masters from New York University (NYU) where he continued his studies in engineering.",104
Moore,0,,60
Moore,0,,43
Moore,0,,31
Moore,0,,86
Moore,4,,176
Moravec,0,,20
Morgan,0,,134
Morris,0,,106
Moses,0,,29
Motwani,7,"Rajeev Motwani was born in Jammu,  Jammu and Kashmir, India on 24 March 1962, and grew up in New Delhi.[5] His father was in the Indian Army. He had two brothers. As a child, inspired by luminaries like Gauss, he wanted to become a mathematician.
Motwani went to St Columba's School, New Delhi. He completed his B.Tech. in Computer Science from the Indian Institute of Technology Kanpur in Kanpur, Uttar Pradesh in 1983 and got his Ph.D. in Computer Science from the University of California, Berkeley in Berkeley, California, United States in 1988, under the supervision of Richard M. Karp.[1]",213
Mukhanov,0,,4
Muggleton,0,Muggleton received his Bachelor of Science degree in computer science (1982) and Doctor of Philosophy in artificial intelligence (1986) supervised by Donald Michie at the University of Edinburgh.[12],211
Müller,7,,530
Mycroft,0,Mycroft read mathematics at Cambridge then moved to Edinburgh where he completed his Doctor of Philosophy degree with a thesis on Abstract interpretation and optimising transformations for applicative programs[2] supervised by Rod Burstall and Robin Milner.,122
Myers,0,"Myers received his BS degree in Computer Science and MS degree in Computer Science and Engineering under MIT in 1980, whilst simultaneously interning at Xerox Parc for his Master's thesis. He then received his PhD in Computer Science from the University of Toronto in 1987.",376
Nadin,0,,51
Nagao,10,,106
Nake,9,,29
Nardi,0,,193
Naur,0,,48
Needham,14,,89
Nell,0,,30
Nelson,0,,140
Neumann,0,,3
Neumann,0,,0
Neumann,3,,50
Newell,21,,95
Newman,0,,47
Ng,0,,"1,010"
Nilsson,0,,77
Nijssen,0,,50
Nipkow,0,,222
Nivat,3,,114
Nkambule,3,,0
Noe,0,,22
Nordin,0,,50
Norman,4,,119
Norvig,2,"Norvig received a Bachelor of Science in applied mathematics from Brown University[8] and a Ph.D. in computer science from the University of California, Berkeley.[3]",44
Novacky,0,,1
Nygaard,0,,27
Odersky,0,,141
O'Hearn,1,"O'Hearn attained a BSc degree in computer science from Dalhousie University, Halifax, Nova Scotia (1985), followed by MSc (1987) and PhD (1991) degrees from Queen's University, Kingston, Ontario, Canada. His dissertation was on Semantics of Non-interference: A natural approach, supervised by Robert D. Tennent.[11][18]",111
Olle,0,,36
Omohundro,0,"Omohundro has degrees in physics and mathematics from Stanford University (Phi Beta Kappa)[2] and a Ph.D. in physics from the University of California, Berkeley.[3]",6
Ornstein,0,,12
O'Sullivan,0,,208
Ousterhout,0,,84
Overmars,0,,244
Owicki,0,,36
Page,0,"Page attended Okemos Montessori School (now called Montessori Radmoor) in Okemos, Michigan, from ages 2 to 7 (1975 to 1979). He attended East Lansing High School, graduating in 1991. In summer school, he attended Interlochen Center for the Arts at Interlochen, Michigan, playing flute but mainly saxophone for two summers.",23
Pal,5,,428
Pandya,0,,82
Papadimitriou,9,"Papadimitriou studied at the National Technical University of Athens, where in 1972 he received his Bachelor of Arts degree in electrical engineering. He then pursued graduate studies at Princeton University, where he received his Ph.D. in electrical engineering and computer science in 1976 after completing a doctoral dissertation titled ""The complexity of combinatorial optimization problems.""[9]",585
Park,0,,"1,906"
Parnas,0,,185
Patil,0,,1
Patt,6,,219
Patterson,3,,453
Paterson,0,,154
Pătraşcu,0,,99
Paulson,3,"Paulson graduated from the California Institute of Technology in 1977,[10] and obtained his PhD in Computer Science from Stanford University in 1981 for research on programming languages and compiler-compilers supervised by John L. Hennessy.[3][11]",225
Pausch,0,,88
Pavón,0,"Pavón belongs to the first Spanish generation to get official studies in Computer Science, during the 1980s.[11] He studied Computer Science at the Technical University of Madrid, graduating in 1985. In 1988, he obtained his PhD in this area with the thesis: ""Synthesis of communication protocols from service specifications"".[12] While doing this thesis, he worked as assistant professor at the same university. After his PhD, he joined Alcatel-Lucent R&D team, where he worked for 10 years. At the end of 1997 he got an Associate Professor position at UCM, and in 2006, he achieved the Habilitation à diriger des recherches qualification in Computer Science at the Université Pierre et Marie Curie (Paris VI) with the thesis ""INGENIAS : Développement Dirigé par Modèles des Systèmes Multi-Agents"" (in French).[13][11][14]",200
Pearl,43,,326
Perlis,0,,55
Perlman,11,"As an undergraduate at MIT Perlman learned programming for a physics class. She was given her first paid job in 1971 as part-time programmer for the LOGO Lab at the (then) MIT Artificial Intelligence Laboratory, programming system software such as debuggers. [14]",68
Perotto,0,,1
Péter,0,,8
Jones,3,"Peyton Jones graduated from the University of Cambridge with a Bachelor of Science degree[7] in Electrical Sciences in 1979. During this time he was an undergraduate student of Trinity College, Cambridge, and subsequently went on to complete the Cambridge Diploma in Computer Science in 1980. He never did a PhD.[8][9]",252
Pham,0,,4
Pieraccini,2,He obtained a degree in electrical engineering from the University of Pisa in 1980 with a thesis on the equalization of data channels.,85
Pingali,10,,227
Plotkin,3,"Plotkin was educated at the University of Glasgow and the University of Edinburgh, gaining his Bachelor of Science degree in 1967[8] and PhD in 1972[2] supervised by Rod Burstall.[1]",165
Pnueli,6,,300
Poel,0,,21
Popplewell,0,,0
Post,0,,176
Postel,0,,233
Preparata,0,,199
Press,0,,79
Rabana,0,,0
Rozenberg,1,,618
Rabin,5,,104
Radev,2,,315
Raman,0,,759
Randell,0,,117
Ravn,0,,103
Reddy,1,,747
Reed,0,,162
Reenskaug,0,,19
Reynolds,0,,154
Reynolds,0,,69
Riet,0,,0
Richards,0,,24
Richards,0,Richards studied mathematics as an undergraduate student at the University of Cambridge and took the Cambridge Diploma in Computer Science. His PhD was on programming language design and implementation.[4][5] He was a senior lecturer at the University of Cambridge Computer Laboratory until his retirement in 2007.,186
Riese,0,,8
Rijsbergen,1,,142
Ritchie,2,,22
Rivest,5,"Rivest earned a Bachelor's degree in Mathematics from Yale University in 1969, and a Ph.D. degree in Computer Science from Stanford University in 1974 for research supervised by Robert W. Floyd.[1]",235
Robinson,0,,119
Rolland,0,,179
Romero,0,,166
Rosenfeld,0,,465
Ross,0,,65
Rossum,5,,16
Rothman,0,,48
Royce,0,,1
Rucker,0,,5
Rudich,0,,40
Rulifson,3,,6
James Rumbaugh,0,,51
Ružička,4,,48
Sadowsky,0,"Sadowsky's first work was at Combustion Engineering, Inc. (1958–1962), where he was an applied mathematician and programmer for the Nuclear Division. He then went to Yale University (1962–1963), where he was Manager of Operations of Yale Computer Center and Research Assistant in Economics.",3
Sadrzadeh,0,,120
